image_name,lpips_score,ssim_score,discarded_lpips_score,discarded_ssim_score
ChestCT_399.png,0.4176,0.3306,0.3944,0.3901
ChestCT_400.png,0.3414,0.3942,0.4082,0.3817
ChestCT_401.png,0.3416,0.4127,0.4124,0.3858
ChestCT_402.png,0.4137,0.3067,0.3920,0.3702
ChestCT_403.png,0.3492,0.4047,0.3968,0.3981
ChestCT_404.png,0.4107,0.3098,0.4189,0.3817
ChestCT_405.png,0.4098,0.3122,0.4059,0.3906
ChestCT_406.png,0.4144,0.3087,0.3998,0.3705
ChestCT_407.png,0.3467,0.4087,0.4158,0.3853
ChestCT_408.png,0.4033,0.3224,0.3991,0.3891
ChestCT_409.png,0.3494,0.4153,0.3932,0.3538
ChestCT_410.png,0.3353,0.4293,0.3960,0.3971
ChestCT_411.png,0.3446,0.4309,0.3972,0.3990
ChestCT_412.png,0.4104,0.3526,0.3913,0.4269
ChestCT_413.png,0.5041,0.2798,0.4811,0.3537
ChestCT_414.png,0.3439,0.4102,0.3887,0.4084
ChestCT_415.png,0.4979,0.2890,0.4718,0.3643
ChestCT_416.png,0.4966,0.2991,0.4704,0.3762
ChestCT_417.png,0.3449,0.4178,0.3812,0.4382
ChestCT_418.png,0.4236,0.3617,0.3944,0.3803
ChestCT_419.png,0.4909,0.2848,0.4706,0.3552
ChestCT_420.png,0.4795,0.3060,0.4557,0.3869
ChestCT_421.png,0.3486,0.4179,0.3851,0.3731
ChestCT_422.png,0.3474,0.4218,0.3719,0.4063
ChestCT_423.png,0.4900,0.2958,0.4669,0.3690
ChestCT_424.png,0.4359,0.3465,0.3945,0.3617
ChestCT_425.png,0.4437,0.3307,0.3950,0.3404
ChestCT_426.png,0.4890,0.2988,0.4621,0.3661
ChestCT_427.png,0.4151,0.3388,0.3784,0.3975
ChestCT_428.png,0.3931,0.4135,0.3589,0.4413
ChestCT_429.png,0.3958,0.4197,0.3596,0.4475
ChestCT_430.png,0.3474,0.4065,0.3860,0.4548
ChestCT_431.png,0.3371,0.4743,0.3801,0.4802
ChestCT_432.png,0.3476,0.4087,0.3880,0.4505
ChestCT_433.png,0.3464,0.4179,0.3876,0.4463
ChestCT_434.png,0.3918,0.4658,0.3467,0.4887
ChestCT_435.png,0.3884,0.4786,0.3637,0.5006
ChestCT_436.png,0.3473,0.4570,0.3789,0.4862
ChestCT_437.png,0.3942,0.4433,0.3845,0.4558
ChestCT_438.png,0.3923,0.4800,0.3622,0.5038
ChestCT_439.png,0.3860,0.4551,0.3850,0.4638
ChestCT_440.png,0.3915,0.4621,0.3522,0.4797
ChestCT_441.png,0.3461,0.4584,0.3546,0.5161
ChestCT_442.png,0.3887,0.4511,0.3863,0.4592
ChestCT_443.png,0.3463,0.3948,0.3913,0.4692
ChestCT_444.png,0.3361,0.4984,0.3945,0.4577
ChestCT_445.png,0.4497,0.3912,0.3864,0.4547
ChestCT_446.png,0.4631,0.3816,0.3921,0.4624
ChestCT_447.png,0.3403,0.4971,0.3998,0.4552
ChestCT_448.png,0.3432,0.3934,0.3852,0.4757
ChestCT_449.png,0.3282,0.5010,0.3905,0.4636
ChestCT_450.png,0.3449,0.3887,0.3968,0.4600
